size,threads,run,wall_time_s,out_file
128,1,1,0.00,results/matrices_openmp_128_1_run1.out
128,1,2,0.00,results/matrices_openmp_128_1_run2.out
128,1,3,0.00,results/matrices_openmp_128_1_run3.out
128,2,1,0.00,results/matrices_openmp_128_2_run1.out
128,2,2,0.00,results/matrices_openmp_128_2_run2.out
128,2,3,0.00,results/matrices_openmp_128_2_run3.out
128,4,1,0.00,results/matrices_openmp_128_4_run1.out
128,4,2,0.00,results/matrices_openmp_128_4_run2.out
128,4,3,0.00,results/matrices_openmp_128_4_run3.out
128,8,1,0.09,results/matrices_openmp_128_8_run1.out
128,8,2,0.04,results/matrices_openmp_128_8_run2.out
128,8,3,0.00,results/matrices_openmp_128_8_run3.out
256,1,1,0.02,results/matrices_openmp_256_1_run1.out
256,1,2,0.02,results/matrices_openmp_256_1_run2.out
256,1,3,0.02,results/matrices_openmp_256_1_run3.out
256,2,1,0.01,results/matrices_openmp_256_2_run1.out
256,2,2,0.01,results/matrices_openmp_256_2_run2.out
256,2,3,0.01,results/matrices_openmp_256_2_run3.out
256,4,1,0.00,results/matrices_openmp_256_4_run1.out
256,4,2,0.01,results/matrices_openmp_256_4_run2.out
256,4,3,0.01,results/matrices_openmp_256_4_run3.out
256,8,1,0.03,results/matrices_openmp_256_8_run1.out
256,8,2,0.00,results/matrices_openmp_256_8_run2.out
256,8,3,0.00,results/matrices_openmp_256_8_run3.out
512,1,1,0.21,results/matrices_openmp_512_1_run1.out
512,1,2,0.20,results/matrices_openmp_512_1_run2.out
512,1,3,0.21,results/matrices_openmp_512_1_run3.out
512,2,1,0.09,results/matrices_openmp_512_2_run1.out
512,2,2,0.10,results/matrices_openmp_512_2_run2.out
512,2,3,0.09,results/matrices_openmp_512_2_run3.out
512,4,1,0.05,results/matrices_openmp_512_4_run1.out
512,4,2,0.08,results/matrices_openmp_512_4_run2.out
512,4,3,0.05,results/matrices_openmp_512_4_run3.out
512,8,1,0.05,results/matrices_openmp_512_8_run1.out
512,8,2,0.08,results/matrices_openmp_512_8_run2.out
512,8,3,0.05,results/matrices_openmp_512_8_run3.out
1000,1,1,2.14,results/matrices_openmp_1000_1_run1.out
1000,1,2,2.24,results/matrices_openmp_1000_1_run2.out
1000,1,3,2.43,results/matrices_openmp_1000_1_run3.out
1000,2,1,1.03,results/matrices_openmp_1000_2_run1.out
1000,2,2,1.12,results/matrices_openmp_1000_2_run2.out
1000,2,3,1.12,results/matrices_openmp_1000_2_run3.out
1000,4,1,0.97,results/matrices_openmp_1000_4_run1.out
1000,4,2,0.93,results/matrices_openmp_1000_4_run2.out
1000,4,3,0.44,results/matrices_openmp_1000_4_run3.out
1000,8,1,0.78,results/matrices_openmp_1000_8_run1.out
1000,8,2,0.96,results/matrices_openmp_1000_8_run2.out
1000,8,3,0.85,results/matrices_openmp_1000_8_run3.out
